_id,checkin_count,الموقع,Site,City English,City Arabic,Brn,Y GIS Coordinates,Site Type,X GIS Coordinates,id,Reg
1,,فرع العقيق الباحة  2,CA-AKIK BRANCH BAHA 2,AL-AQIQ- BAHA,العقيق - الباحة,Brn,20.2704166666667,Room-Window,41.65375,1,AL-BAHA
2,,فرع العقيق الباحة 1,CA-AKIK BRANCH BAHA 1,AL-AQIQ- BAHA,العقيق - الباحة,Brn,20.2704166666667,Room-Window,41.65375,2,AL-BAHA
3,,فرع العقيق الباحة  3,AKIK BRANCH BAHA 3,AL-AQIQ- BAHA,العقيق - الباحة,Brn,20.2704166666667,Room-Window,41.65375,3,AL-BAHA
4,,محطة الوفاء - العقيق,AL-WAFA GAS STATION,AL-AQIQ- BAHA,العقيق - الباحة,Of Site,20.2355833333333,drive up - Island,41.6326833333333,4,AL-BAHA
6,,بن طيشان,BIN TESHAN CENTER,AL-AQIQ- BAHA,العقيق - الباحة,Of Site,20.1628,Room-Window,41.2852666666667,6,AL-BAHA
7,,صراف رويال مول,ROYAL MALL,AL-AQIQ- BAHA,العقيق - الباحة,Of Site,20.242078,drive up - Island,41.638474,7,AL-BAHA
8,,فرع الباحة 1,CA-ALBAHA BRANCH,AL-BAHA,الباحة,Brn,20.0146666666667,Room-Lobby,41.4695,8,AL-BAHA
9,,فرع الباحة 2,ALBAHA BRANCH,AL-BAHA,الباحة,Brn,20.0146666666667,Room-Lobby,41.4695,9,AL-BAHA
10,,فرع الزاوية,CA-AL ZAWEYA BRANCH,AL-BAHA,الباحة,Brn,19.9395,Room-Lobby,41.5522833333333,10,AL-BAHA
11,,فرع رهوة البر 1,RAHWAT AL BAR,AL-BAHA,الباحة,Brn,20.0646666666667,Room-Lobby,41.4478666666667,11,AL-BAHA
12,,فرع رهوة البر 2,CA-RAHWAT AL-BAR BR 2,AL-BAHA,الباحة,Brn,20.0646666666667,Room-Lobby,41.4478666666667,12,AL-BAHA
13,,حوالات الباحة 1,AL BAHA REMITTANCE,AL-BAHA,الباحة,Remittance Center,20.01025,Room-Lobby,41.4649666666667,13,AL-BAHA
14,,حوالات الباحة 2 ,CA-BAHA REMITTANCE,AL-BAHA,الباحة,Remittance Center,20.01025,Room-Lobby,41.4649666666667,14,AL-BAHA
15,,محطة الفيصلية,FAISALIYAH STATION,AL-BAHA,الباحة,Of Site,20.0609666666667,drive up - Island,41.43415,15,AL-BAHA
16,,محطة العريش,AL AREESH STATION,AL-BAHA,الباحة,Of Site,20.1034,drive up - Island,41.4436333333333,16,AL-BAHA
17,,محطة الناصرية - بنى سار,AL NASRIYA GAS STATION,AL-BAHA,الباحة,Of Site,20.0811833333333,drive up - Island,41.44645,17,AL-BAHA
18,,محطة السواد,AL SAWAD GAS STATION,AL-BAHA,الباحة,Of Site,20.0278666666667,drive up - Island,41.4770166666667,18,AL-BAHA
20,,محطة النخلة/الباحة,NAKHLA GAS STATION,AL-BAHA,الباحة,Of Site,20.0579333333333,drive up - Island,41.4481,19,AL-BAHA
21,,محطة الحامد/الباحة ( السلام حاليا ),ALHAMMED GAS STATION,AL-BAHA,الباحة,Of Site,20.0123833333333,drive up - Island,41.4689166666667,20,AL-BAHA
22,,بلدية الباحة,BALADIYAT AL-BAHA,AL-BAHA,الباحة,Of Site,20.0118666666667,drive up - Island,41.46215,21,AL-BAHA
23,,محطة المعجب / رهوة البر,AL MAGEB GAS STATION,AL-BAHA,الباحة,Of Site,20.09095,drive up - Island,41.44205,22,AL-BAHA
24,,مجمع السيارى,AL SAYARI CENTER,AL-BAHA,الباحة,Of Site,20.0069333333333,drive up - Island,41.5033833333333,23,AL-BAHA
25,,محطة الشهيبي,AL-SHEHAIBI GAS STATION,AL-BAHA,الباحة,Of Site,20.1279333333333,drive up - Island,41.4208333333333,24,AL-BAHA
26,,محطة المفرق,AL MAFRAK GAS STATION,AL-BAHA,الباحة,Of Site,19.9884,drive up - Island,41.5200833333333,25,AL-BAHA
27,,سوق ابو الخير,ABU AL-KHAIR MARKET,AL-BAHA,الباحة,Of Site,20.0181,Room-Window,41.4686166666667,26,AL-BAHA
28,,محطة شركة الالاء,ALALA ALWATANIA COMPANY,AL-BAHA,الباحة,Of Site,20.090477,drive up - Island,41.580349,27,AL-BAHA
29,,فرع المندق 2,CA-MANDAQ BR.,AL-MANDIQ,المندق,Brn,20.1595,Room-Lobby,41.2841666666667,28,AL-BAHA
30,,فرع المندق 1,AL-MANDEK BRANCH,AL-MANDIQ,المندق,Brn,20.1595,Room-Lobby,41.2841666666667,29,AL-BAHA
